Sl,District_N,confirmed,dead,recovered,quarantine
0,BARGUNA,0,0,0,0
1,BARISAL,0,0,0,0
2,BHOLA,0,0,0,0
3,JHALOKATI,0,0,0,0
4,PATUAKHALI,0,0,0,34
5,PIROJPUR,0,0,0,32
6,BANDARBAN,0,0,0,0
7,BRAHAMANBARIA,0,0,0,0
8,CHANDPUR,0,0,0,349
9,CHITTAGONG,0,0,0,102
10,COMILLA,0,0,0,0
11,COX'S BAZAR,0,0,0,0
12,FENI,0,0,0,0
13,KHAGRACHHARI,0,0,0,0
14,LAKSHMIPUR,0,0,0,0
15,NOAKHALI,0,0,0,0
16,RANGAMATI,0,0,0,11
17,DHAKA,15,2,3,0
18,FARIDPUR,0,0,0,40
19,GAZIPUR,0,0,0,93
20,GOPALGANJ,0,0,0,121
21,JAMALPUR,0,0,0,0
22,KISHOREGANJ,0,0,0,0
23,MADARIPUR,10,0,0,0
24,MANIKGANJ,0,0,0,429
25,MUNSHIGANJ,0,0,0,152
26,MYMENSINGH,0,0,0,0
27,NARAYANGANJ,3,0,0,0
28,NARSINGDI,0,0,0,56
29,NETRAKONA,0,0,0,34
30,RAJBARI,0,0,0,87
31,SHARIATPUR,0,0,0,282
32,SHERPUR,0,0,0,0
33,TANGAIL,0,0,0,160
34,BAGERHAT,0,0,0,0
35,CHUADANGA,1,0,0,0
36,JESSORE,0,0,0,0
37,JHENAIDAH,0,0,0,0
38,KHULNA,0,0,0,66
39,KUSHTIA,0,0,0,75
40,MAGURA,0,0,0,0
41,MEHERPUR,0,0,0,0
42,NARAIL,0,0,0,0
43,SATKHIRA,0,0,0,0
44,BOGRA,0,0,0,228
45,JOYPURHAT,0,0,0,0
46,NAOGAON,0,0,0,134
47,NATORE,0,0,0,27
48,NAWABGANJ,0,0,0,0
49,PABNA,0,0,0,0
50,RAJSHAHI,0,0,0,0
51,SIRAJGANJ,0,0,0,69
52,DINAJPUR,0,0,0,0
53,GAIBANDHA,2,0,0,84
54,KURIGRAM,0,0,0,42
55,LALMONIRHAT,0,0,0,36
56,NILPHAMARI,0,0,0,0
57,PANCHAGARH,0,0,0,0
58,RANGPUR,0,0,0,0
59,THAKURGAON,0,0,0,0
60,HABIGANJ,0,0,0,0
61,MAULVIBAZAR,0,0,0,216
62,SUNAMGANJ,0,0,0,0
63,SYLHET,0,0,0,565
